Date,Địa Danh,Số ca,Buổi
 2021-10-05,Bắc Ninh,27,Sáng
 2021-10-05,Vĩnh Phúc,19,Sáng
 2021-10-05,Đà Nẵng,13,Sáng
 2021-10-05,Bắc Giang,5,Sáng
 2021-10-05,Hà Nội,9,Sáng
 2021-10-05,Hòa Bình,2,Sáng
 2021-10-05,Đắk Lắk,1,Sáng
 2021-10-05,Điện Biên,1,Sáng
 2021-10-05,Lạng Sơn,1,Sáng
 2021-10-05,Bắc Ninh,27,Trưa
 2021-10-05,Vĩnh Phúc,19,Trưa
 2021-10-05,Đà Nẵng,13,Trưa
 2021-10-05,Bắc Giang,5,Trưa
 2021-10-05,Hà Nội,9,Trưa
 2021-10-05,Hòa Bình,2,Trưa
 2021-10-05,Đắk Lắk,1,Trưa
 2021-10-05,Điện Biên,1,Trưa
 2021-10-05,Lạng Sơn,1,Trưa
 2021-10-05,Hưng Yên,6,Tối
 2021-10-05,Đà Nẵng,4,Tối
 2021-10-05,Bắc Giang,3,Tối
 2021-10-05,Hà Nội,2,Tối
 2021-10-05,Vĩnh Phúc,1,Tối
 2021-11-05,Bệnh viện nhiệt đới Trung ương,1,Sáng
 2021-11-05,Bắc Ninh,13,Sáng
 2021-11-05,Vĩnh Phúc,7,Sáng
 2021-11-05,Bắc Giang,5,Sáng
 2021-11-05,Lạng Sơn,1,Sáng
 2021-11-05,Hải Dương,1,Sáng
 2021-11-05,Bắc Giang,10,Trưa
 2021-11-05,Hà Nội,2,Trưa
 2021-11-05,Quảng Trị,2,Trưa
 2021-11-05,Bắc Ninh,1,Trưa
 2021-11-05,Hải Dương,1,Trưa
 2021-11-05,Bắc Ninh,20,Tối
 2021-11-05,Bắc Giang,2,Tối
 2021-11-05,Hà Nội,2,Tối
 2021-11-05,Thái Bình,2,Tối
 2021-11-05,Thừa thiên Huế,1,Tối
 2021-12-05,Bệnh viện nhiệt đới Trung ương,4,Sáng
 2021-12-05,Vĩnh Phúc,13,Sáng
 2021-12-05,Đà Nẵng,7,Sáng
 2021-12-05,Bắc Giang,6,Sáng
 2021-12-05,Lạng Sơn,1,Sáng
 2021-12-05,Hà Nội,1,Sáng
 2021-12-05,Nam Định,1,Sáng
 2021-12-05,Bệnh viện nhiệt đới Trung ương co? so?? ?o?ng Anh,2,Trưa
 2021-12-05,Bắc Giang,9,Trưa
 2021-12-05,Bắc Ninh,5,Trưa
 2021-12-05,Hà Nam,1,Trưa
 2021-12-05,Thái Bình,1,Trưa
 2021-12-05,Hưng Yên,1,Trưa
 2021-12-05,Hà Nội,7,Tối
 2021-12-05,Bắc Giang,2,Tối
 2021-12-05,Phú Thọ,1,Tối
05/13/2021,Long An,1,Sáng
05/13/2021,An Giang,1,Sáng
05/13/2021,Bệnh viện nhiệt đới Trung ương,1,Sáng
05/13/2021,Đà Nẵng,22,Sáng
05/13/2021,Bắc Ninh,3,Sáng
05/13/2021,Hà Nội,3,Sáng
05/13/2021,Vĩnh Phúc,2,Sáng
05/13/2021,Bắc Giang,2,Sáng
05/13/2021,Bắc Giang,7,Trưa
05/13/2021,Hưng Yên,4,Trưa
05/13/2021,Thái Bình,4,Trưa
05/13/2021,Hà Nội,3,Trưa
05/13/2021,Huế,1,Trưa
05/13/2021,Hà Nam,1,Trưa
05/13/2021,Hòa Bình,1,Trưa
05/13/2021,Sóc Trăng,9,Tối
05/13/2021,Đồng Nai,1,Tối
05/13/2021,Vĩnh Long,1,Tối
05/13/2021,Bình Dương,1,Tối
05/13/2021,Đà Nẵng,10,Tối
05/13/2021,Bắc Ninh,4,Tối
05/13/2021,Vĩnh Phúc,3,Tối
05/13/2021,Hà Nội,1,Tối
05/13/2021,Bắc Giang,1,Tối
05/14/2021,Bắc Giang,10,Sáng
05/14/2021,Bắc Ninh,6,Sáng
05/14/2021,Hà Nội,5,Sáng
05/14/2021,Lạng Sơn,4,Sáng
05/14/2021,Bệnh viện nhiệt đới cơ sở Phương Anh,1,Sáng
05/14/2021,Bệnh viện K,3,Sáng
05/14/2021,Bắc Ninh,7,Trưa
05/14/2021,Bệnh viện K cơ sở Tân Triều,3,Trưa
05/14/2021,Lạng Sơn,2,Trưa
05/14/2021,Nam Định,2,Trưa
05/14/2021,Thái Bình,1,Trưa
05/14/2021,Hưng Yên,1,Trưa
05/14/2021,Bệnh viện K cơ sở Tân Triều,2,Tối
05/14/2021,Bệnh viện nhiệt đới Trung ương co? so?? ?o?ng Anh,1,Tối
05/14/2021,Bắc Ninh,33,Tối
05/14/2021,Hà Nội,12,Tối
05/14/2021,Bắc Giang,6,Tối
05/14/2021,Đà Nẵng,3,Tối
05/14/2021,Thái Bình,1,Tối
05/14/2021,Điện Biên,1,Tối
05/15/2021,Bắc Giang,15,Sáng
05/15/2021,Lạng Sơn,2,Sáng
05/15/2021,Vĩnh Phúc,1,Sáng
05/15/2021,Hà Nội,1,Sáng
05/15/2021,Đắk Lắk,1,Sáng
05/15/2021,Bà Rịa - Vũng Tàu,1,Trưa
05/15/2021,Đà Nẵng,1,Trưa
05/15/2021,Bắc Giang,9,Trưa
05/15/2021,Điện Biên,2,Trưa
05/15/2021,Hà Nội,2,Trưa
05/15/2021,Bắc Ninh,1,Trưa
05/15/2021,Hà Nam,1,Trưa
05/15/2021,Hưng Yên,1,Trưa
05/15/2021,Vĩnh Long,1,Tối
05/15/2021,Quảng Trị,1,Tối
05/15/2021,Bắc Giang,85,Tối
05/15/2021,Bệnh viện K cơ sở Tân Triều,13,Tối
05/15/2021,Bắc Ninh,16,Tối
05/15/2021,Vĩnh Phúc,4,Tối
05/15/2021,Lạng Sơn,2,Tối
05/15/2021,Nam Định,1,Tối
05/16/2021,Bắc Giang,98,Sáng
05/16/2021,Bắc Ninh,23,Sáng
05/16/2021,Điện Biên,5,Sáng
05/16/2021,Hòa Bình,1,Sáng
05/16/2021,Bệnh viện K cơ sở Tân Triều,5,Trưa
05/16/2021,Hưng Yên,1,Trưa
05/16/2021,Bà Rịa - Vũng Tàu,1,Tối
05/16/2021,Hà Nội,2,Tối
05/16/2021,Đà Nẵng,12,Tối
05/16/2021,Điện Biên,7,Tối
05/16/2021,Hà Nam,6,Tối
05/16/2021,Hải Dương,2,Tối
05/16/2021,Bắc Ninh,24,Tối
05/16/2021,Hà Nội,3,Tối
05/17/2021,Bắc Giang,22,Sáng
05/17/2021,Bắc Ninh,11,Sáng
05/17/2021,Vĩnh Phúc,3,Sáng
05/17/2021,Tuyên Quang,1,Sáng
05/17/2021,Bắc Giang,14,Trưa
05/17/2021,Điện Biên,7,Trưa
05/17/2021,Hà Nam,5,Trưa
05/17/2021,Lạng Sơn,2,Trưa
05/17/2021,Bắc Giang,61,Tối
05/17/2021,Bắc Ninh,38,Tối
05/17/2021,Đà Nẵng,7,Tối
05/17/2021,Hà Nội,5,Tối
05/17/2021,Phú Thọ,2,Tối
05/17/2021,Hưng Yên,2,Tối
05/17/2021,Vĩnh Phúc,1,Tối
05/18/2021,Hà Nội,13,Sáng
05/18/2021,Hà Nam,3,Sáng
05/18/2021,Điện Biên,2,Sáng
05/18/2021,Sơn La,1,Sáng
05/18/2021,Bắc Giang,63,Trưa
05/18/2021,Hà Nội,6,Trưa
05/18/2021,Điện Biên,4,Trưa
05/18/2021,Bắc Ninh,3,Trưa
05/18/2021,Hải Dương,3,Trưa
05/18/2021,Đà Nẵng,2,Trưa
05/18/2021,Bệnh viện K cơ sở Tân Triều,1,Trưa
05/18/2021,Hải Phòng,1,Trưa
05/18/2021,Hưng Yên,1,Trưa
05/18/2021,Hà Nam,1,Trưa
05/18/2021,Bắc Giang,33,Tối
05/18/2021,Bắc Ninh,13,Tối
05/18/2021,Điện Biên,1,Tối
05/18/2021,Thái Bình,1,Tối
05/19/2021,Bắc Ninh,16,Sáng
05/19/2021,Bắc Giang,10,Sáng
05/19/2021,Lạng Sơn,3,Sáng
05/19/2021,Hồ Chí Minh,1,Sáng
05/19/2021,Bắc Giang,10,Trưa
05/19/2021,Bắc Ninh,10,Trưa
05/19/2021,Hà Nội,9,Trưa
05/19/2021,Hải Dương,3,Trưa
05/19/2021,Bệnh viện K cơ sở Tân Triều,1,Trưa
05/19/2021,Điện Biên,1,Trưa
05/19/2021,Thái Bình,1,Trưa
05/19/2021,Vĩnh Phúc,1,Trưa
05/19/2021,Bắc Giang,78,Tối
05/19/2021,Bắc Ninh,21,Tối
05/19/2021,Điện Biên,6,Tối
05/19/2021,Đà Nẵng,2,Tối
05/19/2021,Hồ Chí Minh,1,Tối
05/19/2021,Bệnh viện K cơ sở Tân Triều,1,Tối
05/20/2021,Lạng Sơn,1,Sáng
05/20/2021,Ninh Bình,2,Sáng
05/20/2021,Thanh Hoa?,1,Sáng
05/20/2021,Bắc Ninh,8,Sáng
05/20/2021,Hải Dương,5,Sáng
05/20/2021,Bắc Giang,13,Sáng
05/20/2021,Bắc Giang,26,Trưa
05/20/2021,Bắc Ninh,6,Trưa
05/20/2021,Điện Biên,4,Trưa
05/20/2021,Hà Nội,2,Trưa
05/20/2021,Đà Nẵng,1,Trưa
05/20/2021,Thái Nguyên,1,Trưa
05/20/2021,Bệnh viện K cơ sở Tân Triều,4,Trưa
05/20/2021,Bắc Giang,24,Tối
05/20/2021,Bắc Ninh,10,Tối
05/20/2021,Lạng Sơn,1,Tối
05/20/2021,Hải Dương,1,Tối
05/20/2021,Vĩnh Phúc,1,Tối